Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
Options Consultancy Services,options,1,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Oxfam Novib,onl,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
Oxfam Solidarité-Solidariteit,oxsol,2,1,0,0,0,0,0,0,0,0,1,0,Quarterly
Palliative Care Association of Malawi,pacam,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Palliative Care Support Trust,pcst,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
PricewaterhouseCoopers Private Limited India,pwcplindia,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
PwC,pwc,1,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Queen Rania Foundation for Education and Development,qrfed,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Railway Children,rc,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Raleigh International,raleigh_int,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Republic of Korea,odakorea,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Rutgers,rutgers,0,1,2,0,0,0,0,0,0,0,1,0,Quarterly
SNV Netherlands Development Organisation,snv,0,1,1,0,0,0,0,0,0,0,1,0,Quarterly
SOS Children's Villages The Netherlands,sosnl,0,1,1,1,0,0,0,0,0,0,1,0,Quarterly
SPARK,spark,1,0,0,2,0,0,0,0,0,0,1,0,Quarterly
Saferworld,saferworld,1,2,0,1,0,0,0,0,0,0,1,0,Quarterly
Save the Children DK,redbarnet,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Save the Children International,sci,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Save the Children Netherlands,scnl,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Save the Children UK,scuk,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Send a Cow,sendacow,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Send a Cow Ethiopia,sacethiopia,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Send a Cow Kenya,sac_kenya,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Sense International,sense_international,0,2,0,1,0,0,0,0,0,0,1,0,Quarterly
Solidaridad,solidaridad,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Solidaridad Europe,solidaridad-europe,0,1,0,2,0,0,0,0,0,0,1,0,Quarterly
Solidaridad South & South-East Asia,solidaridad-ssea,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Solidaridad West Africa,solidaridad-waf,0,1,1,2,0,0,0,0,0,0,1,0,Quarterly
Stichting Woord en Daad,w-d,0,1,1,0,0,0,0,0,0,0,1,0,Quarterly
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
TEAR fund Nederland,tear,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Terre des Hommes Netherlands,tdh_nl,1,2,0,0,0,0,0,0,0,0,1,0,Quarterly
The Access to Nutrition Foundation,atnf,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
"The Global Development Incubator, Inc",gdi,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,0,4,5,10,0,0,0,0,0,0,1,0,Quarterly
The International Rescue Committee,irc_inc,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
The Louis Berger Group Inc.,lbg,1,0,1,0,0,0,0,0,0,0,1,0,Quarterly
The Open University,open_university,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
The William and Flora Hewlett Foundation,hewlett-foundation,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
The World Bank,worldbank,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
Traidcraft Exchange,traidcraft,1,0,1,0,0,0,0,0,0,0,1,0,Quarterly
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",beis,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
"UK - Department for Environment, Food and Rural Affairs",defra_transparency,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
UK - Department for International Development (DFID),dfid,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
UNITAID,utd,1,2,2,3,0,0,0,0,0,0,1,0,Quarterly
UTZ,utz,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
United Nations Central Emergency Response Fund (CERF),cerf,6,7,1,7,0,0,0,0,0,0,1,0,Quarterly
United Nations Children's Fund (UNICEF),unicef,1,1,2,1,0,0,0,0,0,0,1,0,Quarterly
United Nations Development Programme (UNDP),undp,0,2,1,1,0,0,0,0,0,0,1,0,Quarterly
United Nations High Commissioner for Refugees (UNHCR),unhcr,3,3,1,1,0,0,0,0,0,0,1,0,Quarterly
United Nations Industrial Development Organization (UNIDO),unido,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
United Nations Office for Project Services (UNOPS),unops,1,1,2,1,0,0,0,0,0,0,1,0,Quarterly
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha,6,5,5,10,0,0,0,0,0,0,1,0,Quarterly
United Nations Population Fund,unfpa,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
United Nations World Food Programme (WFP),wfp,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
United States,unitedstates,1,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Universiteit Leiden,universiteit_leiden,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Upper Quartile,uq,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
VEI (Vitens-Evides International),vei_nl,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
VNG International,vngi,0,1,1,1,0,0,0,0,0,0,1,0,Quarterly
VVOB Education for Development,vvob,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
WYG International B.V.,wygi,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
